Pair,regions,#,,den Moris,BA Moris,Qdrt model,kappa,theta,zeta,phi
extsecIN1825+,,973,Pairs,218,26.4,237,2,0.91,1.05,0.86
extqtrIN1825+,,1195,Pairs,206,25.6,256,2,0.87,0.99,0.83
intsecIN1825+,,2449,Pairs,171,24.3,168,1,1.11,1.05,0.87
intqtrIN1825+,,5679,Pairs,187,24,193,1,1.1,1.02,0.84
extsecIN< 1825,,1949,Pairs,249,31.5,243,1,1.12,1.03,0.87
extqtrIN< 1825,,2439,Pairs,255,31.7,259,1,1.12,1.01,0.86
intsecIN< 1825,,5113,Pairs,261,33.7,261,1,1.12,1.04,0.84
intqtrIN< 1825,,11806,Pairs,269,33,281,1,1.11,1.01,0.81
extsecIL1825+,,292,Pairs,54,8.4,47,1.16,1.13,1.14,0.96
extqtrIL1825+,,315,Pairs,88,8.6,83,1.00,1.17,1.03,0.91
intsecIL1825+,,519,Pairs,70,9.2,58,1.00,1.16,1.11,0.96
intqtrIL1825+,,1641,Pairs,77,9.8,75,1.00,1.10,1.06,0.89
extsecIL< 1825,,1920,Pairs,159,19.6,154,1.60,0.97,1.14,0.91
extqtrIL< 1825,,2356,Pairs,179,21.9,185,1.35,1.03,1.08,0.86
intsecIL< 1825,,4758,Pairs,125,15.4,116,1.00,1.11,1.13,0.92
intqtrIL< 1825,,10775,Pairs,152,17.2,160,0.97,1.07,1.01,0.83
